#ID_camira z ra dec nsersic lgre lgre_err lgM_star_bp lgM_star_camira
9  0.26  34.655  -5.674 4.4 1.07 0.00  11.62  11.79 
18  0.27  34.983  -5.468 8.0 1.58 0.00  11.61  11.46 
27  0.29  34.199  -4.607 4.4 1.10 0.02  11.69  11.75 
38  0.11  35.301  -4.737 2.7 0.90 0.00  11.43  11.56 
41  0.20  35.216  -4.656 6.3 1.18 0.00  11.50  11.58 
49  0.28  37.019  -4.850 3.4 1.17 0.00  11.52  11.79 
50  0.26  37.616  -4.564 3.9 0.94 0.00  11.35  11.49 
55  0.15  36.813  -5.076 3.6 0.90 0.00  11.50  11.86 
58  0.26  36.353  -4.679 3.6 1.18 0.00  11.60  11.85 
63  0.26  36.506  -5.202 6.4 0.93 0.00  11.24  11.34 
65  0.20  36.542  -5.643 6.1 0.85 0.00  11.21  11.38 
77  0.25  36.139  -4.239 4.1 1.17 0.00  11.31  11.49 
91  0.26  35.793  -3.498 5.0 0.92 0.00  11.16  11.31 
96  0.10  34.320  -4.130 3.4 0.90 0.00  11.29  11.69 
101  0.28  35.751  -4.095 6.7 0.84 0.00  11.14  11.26 
110  0.17  36.378  -4.239 5.5 1.11 0.00  11.35  11.59 
115  0.19  36.576  -3.999 5.4 1.13 0.00  11.43  11.54 
126  0.21  37.086  -4.143 4.4 1.22 0.00  11.47  11.67 
129  0.28  350.624  -0.373 4.8 1.41 0.01  11.38  11.37 
130  0.26  351.883  0.943 5.0 1.50 0.02  11.79  11.86 
137  0.17  351.090  0.319 3.5 0.94 0.00  11.57  11.69 
139  0.26  352.629  0.636 4.6 0.85 0.00  11.23  11.44 
146  0.29  351.778  -0.400 6.1 1.28 0.00  11.48  11.52 
149  0.18  352.528  -0.613 2.0 0.87 0.00  11.19  11.67 
152  0.25  351.798  -1.227 5.4 1.07 0.00  11.41  11.56 
176  0.26  351.025  0.363 3.2 0.72 0.00  11.51  11.78 
186  0.26  352.039  0.186 3.5 1.38 0.00  11.60  11.73 
193  0.28  352.698  -0.042 3.4 0.99 0.00  11.46  11.34 
195  0.27  351.867  -0.830 8.0 1.02 0.00  11.24  11.30 
201  0.23  351.414  0.973 6.5 1.20 0.00  11.47  11.48 
226  0.30  350.305  -1.261 3.3 1.10 0.00  11.47  11.75 
230  0.29  351.084  -0.541 5.2 1.15 0.01  11.63  11.71 
234  0.28  353.056  0.590 3.5 0.73 0.00  11.45  11.66 
237  0.25  353.118  0.478 4.5 0.71 0.00  11.13  11.32 
246  0.20  353.680  0.480 3.3 0.80 0.00  11.03  11.37 
254  0.21  150.008  1.315 4.8 0.91 0.00  11.22  11.32 
257  0.24  150.063  1.167 6.1 0.97 0.00  11.33  11.49 
270  0.19  149.534  0.915 5.2 0.99 0.00  11.36  11.51 
281  0.20  150.776  1.427 5.6 1.05 0.00  11.44  11.60 
291  0.17  149.521  3.445 2.6 0.86 0.00  11.07  11.51 
292  0.22  150.091  2.391 4.6 1.22 0.00  11.59  11.64 
296  0.21  150.190  1.657 5.5 1.23 0.00  11.63  11.70 
311  0.14  150.416  2.430 3.5 1.08 0.00  11.58  11.78 
318  0.12  149.919  3.028 7.3 1.16 0.00  11.22  11.41 
321  0.20  149.750  3.192 7.9 1.11 0.00  11.49  11.44 
324  0.22  150.091  2.000 5.0 0.96 0.00  11.50  11.67 
325  0.11  150.088  3.253 3.4 0.67 0.00  11.11  11.48 
331  0.11  149.099  2.877 3.6 0.73 0.00  11.07  11.50 
339  0.24  149.626  3.061 4.8 1.30 0.00  11.45  11.56 
344  0.14  150.091  2.783 5.2 1.02 0.00  11.31  11.70 
360  0.25  150.263  2.672 4.1 0.80 0.00  11.28  11.49 
367  0.21  151.312  1.865 8.0 0.93 0.00  11.23  11.29 
389  0.20  150.599  3.630 2.3 0.74 0.00  11.06  11.55 
400  0.12  151.186  1.953 4.6 0.87 0.00  11.12  11.46 
413  0.25  241.164  54.527 3.9 1.14 0.00  11.57  11.71 
416  0.24  241.237  55.639 2.2 0.80 0.00  11.30  11.62 
418  0.22  242.799  55.581 3.3 0.93 0.00  11.40  11.67 
428  0.24  243.630  54.430 5.4 0.98 0.00  11.47  11.62 
429  0.26  241.461  54.791 7.3 0.97 0.00  11.55  11.61 
432  0.26  244.659  55.287 4.6 1.09 0.00  11.65  11.78 
435  0.30  242.752  56.297 4.2 1.31 0.00  11.34  11.37 
436  0.18  242.114  53.243 4.9 1.12 0.00  11.56  11.78 
443  0.25  242.779  55.793 4.4 1.16 0.00  11.46  11.51 
455  0.25  243.550  55.692 5.0 1.14 0.00  11.68  11.81 
460  0.20  244.580  54.871 4.0 1.08 0.00  11.50  11.74 
461  0.26  240.837  55.113 8.0 1.36 0.00  11.59  11.53 
465  0.23  242.019  54.144 4.5 0.79 0.00  11.42  11.58 
466  0.23  243.336  54.175 3.1 0.64 0.00  11.19  11.49 
470  0.25  241.408  55.221 2.5 0.69 0.00  11.13  11.44 
477  0.18  243.538  53.529 4.8 0.92 0.00  11.39  11.54 
481  0.25  242.183  55.760 6.5 0.89 0.00  11.43  11.56 
487  0.23  240.574  55.587 5.5 1.51 0.01  11.30  11.23 
492  0.26  244.626  54.291 5.3 1.02 0.00  11.34  11.44 
497  0.26  240.281  54.541 7.2 0.98 0.01  11.13  11.25 
498  0.15  242.460  55.958 6.5 0.98 0.00  11.18  11.30 
505  0.22  243.054  54.688 3.7 0.83 0.00  11.15  11.47 
506  0.25  242.196  55.991 3.6 1.05 0.00  11.21  11.34 
510  0.24  240.878  54.748 3.0 0.61 0.00  11.04  11.35 
525  0.14  243.654  56.632 2.3 0.94 0.00  11.22  11.72 
